address,price,bedrooms,bath,lot_size,property_age,gross_tax_for_2020,area,Sub-Area/Community,Property_Type,title,style,heating_type,Depth,frontage,,,,,,,,,,,,,,
Ph 401 2968 Birch Street,"$5,580,000",3,3,Built in 2020 (0 yrs old),$0,"$2,582",Vancouver West,Fairview,Apt/Condo,Freehold Strata,"1 Storey,Penthouse",R2509189,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",,,,,,,,,,,,,,
301 2968 Birch Street,"$3,565,000",2,3,Built in 2020 (0 yrs old),$0,"$1,765",Vancouver West,Fairview,Apt/Condo,Freehold Strata,1 Storey,R2509195,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",,,,,,,,,,,,,,
201 2968 Birch Street,"$3,487,500",2,3,Built in 2020 (0 yrs old),$0,"$1,765",Vancouver West,Fairview,Apt/Condo,Freehold Strata,1 Storey,R2508815,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",,,,,,,,,,,,,,
101 2968 Birch Street,"$3,366,000",2,3,Built in 2020 (0 yrs old),$0,"$1,709",Vancouver West,Fairview,Apt/Condo,Freehold Strata,1 Storey,R2508314,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",,,,,,,,,,,,,,
301 1510 W 6th Avenue,"$2,588,000",3,3,Built in 2018 (2 yrs old),"$6,562","$1,732",Vancouver West,Fairview,Apt/Condo,Freehold Strata,1 Storey,R2505016,Ruthie Shugarman PREC*,Dexter Realty,,,,,,,,,,,,,,
1553 W 8th Avenue,"$1,599,900",2,2,Built in 2018 (2 yrs old),"$3,947",$636,Vancouver West,Fairview,Townhouse,Freehold Strata,"1 Storey,Ground Level Unit",R2500773,Ken Leong PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
900 1235 W Broadway,"$2,680,000",3,3,Built in 1989 (31 yrs old),"$6,381",$986,Vancouver West,Fairview,Apt/Condo,Freehold Strata,Penthouse,R2499755,Charles Filer PREC*,Vancouver Luxury Realty,,,,,,,,,,,,,,
201 977 W 8th Avenue,"$2,850,000",2,2,Built in 2007 (13 yrs old),"$6,902","$1,442",Vancouver West,Fairview,Apt/Condo,Freehold Strata,"1 Storey,End Unit",Heat Recovery Ventilator,R2498549,Kevin Frank PREC*,,,,,,,,,,,,,,
8 1040 W 7th Avenue,"$1,439,000",2,3,Built in 1981 (39 yrs old),"$3,716",$462,Vancouver West,Fairview,Townhouse,Freehold Strata,3 Storey,R2492494,Vincent Lim PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
407 1575 W 10th Avenue,"$728,000",1,1,Built in 1997 (23 yrs old),"$1,571",$364,Vancouver West,Fairview,Apt/Condo,Leasehold prepaid-Strata,"Inside Unit,Upper Unit",R2486106,Morley Lercher PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
900 1570 W 7th Avenue,"$948,000",2,2,Built in 2003 (17 yrs old),"$2,738",$490,Vancouver West,Fairview,Apt/Condo,Freehold Strata,Corner Unit,R2481680,Rod MacKay,"Maude, Mackay & Co. Ltd.",,,,,,,,,,,,,,
1108 W 15th Avenue,"$2,980,000",4,3,66 ft x 101 ft (6705 ft²),Built in 2020 (0 yrs old),$0,$0,Vancouver West,Fairview,House,Freehold Strata,Carriage/Coach House,101.6,66.00 feet,,,,,,,,,,,,,,
12 2366 Birch Street,"$1,869,900",2,1,Built in 2021 (-1 yrs old),$0,$438,Vancouver West,Fairview,Townhouse,Freehold Strata,"Penthouse,Reverse 2 Storey",R2480784,Steve Triantafillou PREC*,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
5 2366 Birch Street,"$2,799,900",3,3,Built in 2021 (-1 yrs old),$0,$445,Vancouver West,Fairview,Townhouse,Freehold Strata,"Penthouse,Reverse 2 Storey",R2480791,Steve Triantafillou PREC*,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
6 877 W 7th Avenue,"$618,000",1,1,Built in 1986 (34 yrs old),"$1,808",$344,Vancouver West,Fairview,Townhouse,Freehold Strata,2 Storey,R2524094,Lou Cruz,RE/MAX Crest Realty,,,,,,,,,,,,,,
3 2368 Laurel Street,"$865,000",2,2,Built in 1992 (28 yrs old),"$2,408",$439,Vancouver West,Fairview,Townhouse,Freehold Strata,1 Storey,R2524045,Temmy Ylagan,RE/MAX Real Estate Services,,,,,,,,,,,,,,
201 1551 W 11th Avenue,"$549,900",1,1,Built in 1980 (40 yrs old),"$1,524",$332,Vancouver West,Fairview,Apt/Condo,Freehold Strata,1 Storey,R2523077,Sam Mehrbod PREC*,Team 3000 Realty Ltd.,,,,,,,,,,,,,,
107 503 W 16 Avenue,"$1,199,000",3,2,Built in 1993 (27 yrs old),"$2,446",$576,Vancouver West,Fairview,Apt/Condo,Freehold Strata,"End Unit,Ground Level Unit",R2523065,Karen Weiner,eXp Realty,,,,,,,,,,,,,,
F7 1100 W 6th Avenue,"$799,000",2,2,Built in 1983 (37 yrs old),"$2,217",$373,Vancouver West,Fairview,Townhouse,Freehold Strata,"Corner Unit,Reverse 2 Storey",R2522475,Kate MacPhail PREC*,RE/MAX Select Realty,,,,,,,,,,,,,,
506 181 W 1st Avenue,"$1,478,888",2,2,Built in 2010 (10 yrs old),"$3,616",$774,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Upper Unit,R2522087,Shahlah Bakar,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
308 445 W 2nd Avenue,"$768,000",1,1,Built in 2012 (8 yrs old),"$1,963",$395,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Upper Unit,R2524451,Carolina Wang,Jovi Realty (Richmond) Inc.,,,,,,,,,,,,,,
1005 1450 Pennyfarthing Drive,"$1,275,000",2,2,Built in 1983 (37 yrs old),"$3,209",$634,Vancouver West,False Creek,Apt/Condo,Freehold Strata,"1 Storey,Inside Unit",R2523643,Faith Wilson,Faith Wilson Group,,,,,,,,,,,,,,
1107 159 W 2nd Avenue,"$1,200,000",2,2,Built in 2017 (3 yrs old),"$2,960",$559,Vancouver West,False Creek,Apt/Condo,Freehold Strata,"1 Storey,Upper Unit",R2523583,Pete Shpak PREC*,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
506 181 W 1st Avenue,"$1,478,888",2,2,Built in 2010 (10 yrs old),"$3,616",$774,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Upper Unit,R2522087,Shahlah Bakar,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
801 1783 Manitoba Street,"$739,000",1,1,Built in 2015 (5 yrs old),"$2,101",$460,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Upper Unit,R2522023,Shawn Brown PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
401 1635 W 3rd Avenue,"$563,800",0,1,Built in 2010 (10 yrs old),"$1,615",$240,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Upper Unit,R2520307,Kevin Seibel PREC*,RE/MAX results realty,,,,,,,,,,,,,,
319 1783 Manitoba Street,"$1,088,000",2,2,Built in 2015 (5 yrs old),"$2,905",$650,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Corner Unit,R2517688,Tracy Niu PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
356 168 W 1st Avenue,"$715,000",1,1,Built in 2013 (7 yrs old),"$1,984",$330,Vancouver West,False Creek,Apt/Condo,Freehold Strata,1 Storey,R2510133,Peter Coppard,Coldwell Banker Prestige Realty,,,,,,,,,,,,,,
303 673 Market Hill,"$825,000",2,2,Built in 1978 (42 yrs old),"$2,768",$515,Vancouver West,False Creek,Townhouse,Leasehold prepaid-Strata,3 Storey,R2509909,Amy Trebelco,RE/MAX Select Realty,,,,,,,,,,,,,,
906 1788 Columbia Street,"$699,900",1,1,Built in 2018 (2 yrs old),"$1,802",$379,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Upper Unit,R2509215,Bje Tan,Luxmore Realty,,,,,,,,,,,,,,
210 1680 W 4th Avenue,"$929,000",2,2,Built in 2009 (11 yrs old),"$2,376",$553,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Upper Unit,R2509227,Bo Park,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
10 1425 Lamey's Mill Road,"$679,000",2,2,Built in 1983 (37 yrs old),"$1,501",$625,Vancouver West,False Creek,Apt/Condo,Leasehold prepaid-Strata,"1 Storey,Ground Level Unit",R2507519,Susan Scott,Engel & Volkers Vancouver,,,,,,,,,,,,,,
108 1859 Spyglass Place,"$699,000",1,1,Built in 1989 (31 yrs old),"$1,832",$395,Vancouver West,False Creek,Apt/Condo,Freehold Strata,"1 Storey,Ground Level Unit",R2507288,Jackie Chan,Dexter Realty,,,,,,,,,,,,,,
710 38 W 1st Avenue,"$999,000",2,2,Built in 2015 (5 yrs old),"$2,853",$670,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Corner Unit,R2498770,Morning Yu PREC*,LeHomes Realty First,,,,,,,,,,,,,,
1001 1633 Ontario Street,"$6,800,000",3,4,Built in 2009 (11 yrs old),"$16,906","$1,726",Vancouver West,False Creek,Apt/Condo,Freehold Strata,1 Storey,R2498535,Faith Wilson,Faith Wilson Group,,,,,,,,,,,,,,
76 1425 Lamey's Mill Road,"$585,000",1,1,Built in 1983 (37 yrs old),"$1,597",$479,Vancouver West,False Creek,Apt/Condo,Leasehold prepaid-Strata,2 Storey,R2495260,Susan Scott,Engel & Volkers Vancouver,,,,,,,,,,,,,,
902 1887 Crowe Street,"$1,079,900",2,2,Built in 2011 (9 yrs old),"$2,867",$615,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Corner Unit,R2481600,Crystal Wang PREC*,Sutton Group - 1st West Realty,,,,,,,,,,,,,,
310 181 W 1st Avenue,"$1,128,000",2,2,Built in 2010 (10 yrs old),"$2,893",$700,Vancouver West,False Creek,Apt/Condo,Freehold Strata,"Corner Unit,End Unit",R2524533,Jay Choi,Sutton Group - 1st West Realty,,,,,,,,,,,,,,
506 181 W 1st Avenue,"$1,478,888",2,2,Built in 2010 (10 yrs old),"$3,616",$774,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Upper Unit,R2522087,Shahlah Bakar,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
304 1630 W 1st Avenue,"$899,000",2,2,Built in 1996 (24 yrs old),"$2,525",$552,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Inside Unit,R2524489,Nicolas Blachette,RE/MAX Crest Realty,,,,,,,,,,,,,,
810 1661 Ontario Street,"$969,000",2,1,Built in 2010 (10 yrs old),"$2,853",$527,Vancouver West,False Creek,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2524447,Sevin Atilla,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
501 181 W 1st Avenue,"$778,000",1,1,Built in 2010 (10 yrs old),"$2,156",$507,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Inside Unit,R2524212,Justin Ault,RE/MAX Real Estate Services,,,,,,,,,,,,,,
203 88 W 1st Avenue,"$659,000",1,1,Built in 2015 (5 yrs old),"$1,744",$408,Vancouver West,False Creek,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2523994,Steven Liu,Pacific Evergreen Realty Ltd.,,,,,,,,,,,,,,
604 88 W 1st Avenue,"$1,199,000",2,2,Built in 2015 (5 yrs old),"$3,166",$745,Vancouver West,False Creek,Apt/Condo,Freehold Strata,1 Storey,R2523303,Alanna McGee,WESTSIDE Tom Gradecak Realty,,,,,,,,,,,,,,
214 1477 Fountain Way,"$1,050,000",3,3,Built in 1982 (38 yrs old),"$3,572",$682,Vancouver West,False Creek,Townhouse,Leasehold prepaid-Strata,3 Storey,R2523236,Karen Tsao,RE/MAX Crest Realty,,,,,,,,,,,,,,
705 38 W 1st Avenue,"$649,000",1,1,Built in 2015 (5 yrs old),"$1,773",$393,Vancouver West,False Creek,Apt/Condo,Freehold Strata,1 Storey,R2522136,Helen Wong,Anson Realty Ltd.,,,,,,,,,,,,,,
707 123 W 1st Avenue,"$688,000",1,1,Built in 2010 (10 yrs old),"$1,679",$431,Vancouver West,False Creek,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2521997,Lynn Nguyen,Team 3000 Realty Ltd.,,,,,,,,,,,,,,
1401 1661 Ontario Street,"$5,256,000",3,4,Built in 2010 (10 yrs old),"$11,487","$1,412",Vancouver West,False Creek,Apt/Condo,Freehold Strata,"Corner Unit,Penthouse",R2521704,Kelly Meng PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
197 Walter Hardwick Avenue,"$975,000",0,1,Built in 2010 (10 yrs old),"$1,673",$233,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Inside Unit,R2521029,Tracie McTavish PREC*,Rennie Marketing Systems,,,,,,,,,,,,,,
205 181 W 1st Avenue,"$2,525,000",2,2,Built in 2010 (10 yrs old),"$3,099",$536,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Inside Unit,R2521055,Tracie McTavish PREC*,Rennie Marketing Systems,,,,,,,,,,,,,,
905 1633 Ontario Street,"$4,725,000",3,3,Built in 2010 (10 yrs old),"$5,596",$919,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Inside Unit,R2521045,Tracie McTavish PREC*,Rennie Marketing Systems,,,,,,,,,,,,,,
104 181 W 1st Avenue,"$2,425,000",2,2,Built in 2010 (10 yrs old),"$3,341",$514,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Inside Unit,R2521040,Tracie McTavish PREC*,Rennie Marketing Systems,,,,,,,,,,,,,,
72 W 1st Avenue,"$1,099,000",2,3,Built in 2015 (5 yrs old),"$3,076",$800,Vancouver West,False Creek,Townhouse,Freehold Strata,2 Storey,R2520849,Jordan Lee,One Percent Realty Ltd.,,,,,,,,,,,,,,
203 1562 W 5th Avenue,"$538,000",1,1,Built in 1995 (25 yrs old),"$1,410",$356,Vancouver West,False Creek,Apt/Condo,Freehold Strata,1 Storey,R2520182,Rick Simpson,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
901 1887 Crowe Street,"$995,000",2,2,Built in 2011 (9 yrs old),"$2,610",$633,Vancouver West,False Creek,Apt/Condo,Freehold Strata,"1 Storey,Upper Unit",R2519096,Todd Antifaev,Homelife Benchmark Realty Corp. (White Rock),,,,,,,,,,,,,,
201 181 Athletes Way,"$4,998,000",2,3,Built in 2010 (10 yrs old),"$12,963","$1,709",Vancouver West,False Creek,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2515838,Rosanne Hamilton,Homeland Realty,,,,,,,,,,,,,,
302 38 W 1st Avenue,"$859,900",2,2,Built in 2015 (5 yrs old),"$2,604",$624,Vancouver West,False Creek,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2515713,Pierre Eady,Engel & Volkers Whistler,,,,,,,,,,,,,,
904 1450 Pennyfarthing Drive,"$1,175,000",2,2,Built in 1984 (36 yrs old),"$3,166",$693,Vancouver West,False Creek,Apt/Condo,Freehold Strata,"1 Storey,Inside Unit",R2515102,Joe Fayner,Macdonald Realty,,,,,,,,,,,,,,
503 123 W 1st Avenue,"$649,000",1,1,Built in 2010 (10 yrs old),"$1,653",$431,Vancouver West,False Creek,Apt/Condo,Freehold Strata,Inside Unit,R2514217,Leslie Cannon PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
2935 W 27th Avenue,"$3,499,000",3,2,60 ft x 130 ft (6731 ft²),Built in 1944 (76 yrs old),"$11,905",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,1 1/2 Storey,130 IRR,60.00 feet,R2487706,,,,,,,,,,,,,,
3250 W 36th Avenue,"$3,980,000",7,4,50 ft x 130 ft (6513 ft²),Built in 1929 (91 yrs old),"$10,208",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,3 Storey,130.25,50.00 feet,R2482919,,,,,,,,,,,,,,
3242 W 29th Avenue,"$3,189,000",5,3,40 ft x 130 ft (5200 ft²),Built in 1967 (53 yrs old),"$9,148",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,2 Storey,130,40.00 feet,R2463059,,,,,,,,,,,,,,
2606 W 35th Avenue,"$4,680,000",5,4,60 ft x 134 ft (8040 ft²),Built in 1976 (44 yrs old),"$12,636",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,134,60.00 feet,R2510691,,,,,,,,,,,,,,
4910 Blenheim Street,"$4,988,000",8,8,56 ft x 122 ft (6832 ft²),Built in 2014 (6 yrs old),"$13,684",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,122,56.00 feet,R2509148,,,,,,,,,,,,,,
3206 W 32nd Avenue,"$3,688,000",4,4,33 ft x 130 ft (4394 ft²),Built in 2008 (12 yrs old),"$9,723",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,130,33.80 feet,,,,,,,,,,,,,,
3249 W 33rd Avenue,"$2,299,000",6,3,33 ft x 130 ft (4290 ft²),Built in 1940 (80 yrs old),"$6,878",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,130,33.00 feet,R2505688,,,,,,,,,,,,,,
4885 Elm Street,"$3,780,000",5,3,6300 ft²,Built in 1987 (33 yrs old),"$12,402",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,3 Storey,50.00 feet,R2504225,Jack Liu PREC*,,,,,,,,,,,,,,
2956 W 36th Avenue,"$5,250,000",6,6,59 ft x 130 ft (7737 ft²),Built in 2008 (12 yrs old),"$22,392",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,130.25,59.40 feet,R2482746,,,,,,,,,,,,,,
4679 Puget Drive,"$4,880,000",4,2,57 ft x 123 ft (7020 ft²),Built in 1941 (79 yrs old),"$14,703",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,123.13 IRR,57.00 feet,R2480319,,,,,,,,,,,,,,
4889 Trafalgar Street,"$3,380,000",6,6,47 ft x 118 ft (5674 ft²),Built in 1996 (24 yrs old),"$9,781",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,118.7,47.80 feet,,,,,,,,,,,,,,
2708 W 34th Avenue,"$6,990,000",4,6,60 ft x 140 ft (8400 ft²),Built in 2017 (3 yrs old),"$23,136",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,140,60.00 feet,R2457298,,,,,,,,,,,,,,
2971 W 31st Avenue,"$5,980,000",5,6,50 ft x 130 ft (6525 ft²),Built in 2015 (5 yrs old),"$18,985",Vancouver West,MacKenzie Heights,House,Freehold NonStrata,2 Storey w/Bsmt.,130.5,50.00 feet,R2442325,,,,,,,,,,,,,,
4937 Mackenzie Street,"$1,480,000",2,2,Built in 2012 (8 yrs old),"$4,065",$450,Vancouver West,MacKenzie Heights,Townhouse,Freehold Strata,End Unit,R2335315,Joanne Lin,RA Realty Alliance Inc.,,,,,,,,,,,,,,
1402 4655 Valley Drive,"$799,000",1,1,Built in 2002 (18 yrs old),"$2,276",$395,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,"Corner Unit,Penthouse",R2522481,Patrick Weeks PREC*,RE/MAX Select Properties,,,,,,,,,,,,,,
2210 Mcmullen Avenue,"$2,750,000",5,4,6216 ft²,Built in 2020 (0 yrs old),"$9,562",$0,Vancouver West,Quilchena,Duplex,Freehold NonStrata,2 Storey w/Bsmt.,R2520393,Rob Allegrini,,,,,,,,,,,,,,
2389 Mcbain Avenue,"$5,990,000",6,6,55 ft x 120 ft (6600 ft²),Built in 2013 (7 yrs old),"$18,396",Vancouver West,Quilchena,House,Freehold NonStrata,3 Storey,120,55.00 feet,R2518108,,,,,,,,,,,,,,
307 2083 W 33rd Avenue,"$728,000",2,1,Built in 2003 (17 yrs old),"$1,998",$346,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,1 Storey,R2515548,Ellen Guan PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
207 4101 Yew Street,"$799,000",2,1,Built in 1974 (46 yrs old),"$1,953",$470,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,1 Storey,R2513919,Michael Stewart PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
508 2101 Mcmullen Avenue,"$725,000",1,1,Built in 1974 (46 yrs old),"$1,880",$446,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,1 Storey,R2512639,Kathy Young,Macdonald Realty,,,,,,,,,,,,,,
18 4350 Valley Drive,"$1,649,900",2,3,Built in 1977 (43 yrs old),"$5,167",$543,Vancouver West,Quilchena,Townhouse,Freehold Strata,"2 Storey w/Bsmt.,Inside Unit",R2503560,Ken Leong PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
2257 Mcmullen Avenue,"$5,990,000",5,7,52 ft x 120 ft (6243 ft²),Built in 2018 (2 yrs old),"$16,487",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,120.05,52.00 feet,R2477793,,,,,,,,,,,,,,
4855 Paton Street,"$4,580,000",5,3,54 ft x 117 ft (6370 ft²),Built in 1961 (59 yrs old),"$10,544",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,117.96,54.00 feet,R2516788,,,,,,,,,,,,,,
204 3905 Springtree Drive,"$474,000",1,1,Built in 1979 (41 yrs old),"$1,215",$290,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,Inside Unit,R2513867,Shannon Vrlak PREC*,WESTSIDE Tom Gradecak Realty,,,,,,,,,,,,,,
101 2140 Briar Avenue,"$998,000",2,2,Built in 1980 (40 yrs old),"$2,806",$509,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,Corner Unit,R2506386,Carla Zivot PREC*,RE/MAX City Realty,,,,,,,,,,,,,,
2126 W 34th Avenue,"$5,000,000",2,4,141 ft x 130 ft (12873 ft²),Built in 1970 (50 yrs old),"$10,273",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,130.19,141.88 feet,R2505134,,,,,,,,,,,,,,
109 4759 Valley Drive,"$1,980,000",3,3,Built in 2005 (15 yrs old),"$5,465",$659,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,"Corner Unit,Ground Level Unit",R2504058,Winnie Chung PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
301 4759 Valley Drive,"$1,348,000",2,2,Built in 2005 (15 yrs old),"$3,180",$446,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,Upper Unit,R2503530,Ryan Lo,LeHomes Realty,,,,,,,,,,,,,,
109 2101 Mcmullen Avenue,"$698,000",1,1,Built in 1973 (47 yrs old),"$1,644",$418,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2503037,Rhonda Davis PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
404 4685 Valley Drive,"$1,395,000",2,2,Built in 2004 (16 yrs old),"$3,698",$468,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2502835,Wendy Zhao PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
602 4759 Valley Drive,"$1,380,000",2,2,Built in 2005 (15 yrs old),"$3,524",$429,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,Upper Unit,R2499555,Du Hong PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
408 2083 W 33rd Avenue,"$672,900",1,1,Built in 2003 (17 yrs old),"$1,931",$333,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,Upper Unit,R2499413,Lucy Li PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
2606 Edgar Crescent,"$5,980,000",5,5,68 ft x 122 ft (7487 ft²),Built in 1994 (26 yrs old),"$14,446",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,122.81,68.70 feet,R2496918,,,,,,,,,,,,,,
2175 W 32nd Avenue,"$6,388,000",4,5,57 ft x 119 ft (6834 ft²),Built in 2015 (5 yrs old),"$15,855",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,119.93,57.00 feet,,,,,,,,,,,,,,
2475 W 35th Avenue,"$4,680,000",6,6,60 ft x 130 ft (7800 ft²),Built in 1989 (31 yrs old),"$14,106",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,130,60.00 feet,R2492456,,,,,,,,,,,,,,
2360 W King Edward Avenue,"$2,990,000",3,2,66 ft x 130 ft (7884 ft²),Built in 1953 (67 yrs old),"$8,649",Vancouver West,Quilchena,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,130.6,66.92 feet,R2491765,,,,,,,,,,,,,,
4729 Haggart Street,"$5,691,000",5,7,60 ft x 125 ft (7525 ft²),Built in 2013 (7 yrs old),"$19,523",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,125.25,60.08 feet,,,,,,,,,,,,,,
2617 Mcbain Avenue,"$5,380,000",5,6,54 ft x 122 ft (6400 ft²),Built in 2015 (5 yrs old),"$19,359",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,122,54.00 feet,,,,,,,,,,,,,,
2268 W 32nd Avenue,"$4,190,000",7,4,57 ft x 120 ft (6852 ft²),Built in 1963 (57 yrs old),"$11,877",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,120,57.00 feet,R2482098,,,,,,,,,,,,,,
113 4759 Valley Drive,"$1,258,000",2,2,Built in 2005 (15 yrs old),"$3,081",$412,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,"Corner Unit,Ground Level Unit",R2474230,Vivian He,Macdonald Realty Westmar,,,,,,,,,,,,,,
305 4685 Valley Drive,"$1,198,000",2,2,Built in 2004 (16 yrs old),"$3,332",$431,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,1 Storey,R2474255,Elisabeth Chandler (Lisa),Macdonald Realty,,,,,,,,,,,,,,
2399 W 35th Avenue,"$6,990,000",6,7,60 ft x 130 ft (7800 ft²),Built in 2019 (1 yrs old),"$12,694",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,130,60.00 feet,,,,,,,,,,,,,,
1303 4655 Valley Drive,"$668,000",1,1,Built in 2002 (18 yrs old),"$1,786",$304,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,1 Storey,R2465902,Steve M.F. Chan,Sunrich Realty,,,,,,,,,,,,,,
409 4101 Yew Street,"$910,000",2,2,Built in 1974 (46 yrs old),"$2,164",$530,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,Upper Unit,R2447126,Raymond Lee,Pacific Place - Arc Realty Ltd.,,,,,,,,,,,,,,
2143 W 36th Avenue,"$11,880,000",5,8,75 ft x 134 ft (10050 ft²),Built in 2018 (2 yrs old),"$25,646",Vancouver West,Quilchena,House,Freehold NonStrata,2 Storey w/Bsmt.,134,75.00 feet,R2442184,,,,,,,,,,,,,,
1438 W 32nd Avenue,"$23,880,000",7,10,101 ft x 181 ft (15632 ft²),Built in 2020 (0 yrs old),"$58,142",Vancouver West,Shaughnessy,House,Freehold NonStrata,2 Storey w/Bsmt.,181/184,101.00 feet,R2522428,,,,,,,,,,,,,Yes,
1520 W 32nd Avenue,"$4,990,000",8,8,18759 ft²,Built in 1992 (28 yrs old),"$16,865",Vancouver West,Shaughnessy,House,Freehold NonStrata,2 Storey w/Bsmt.,173.00 feet,R2506366,Randy Mann PREC*,,,,,,,,,,,,,,
